Source,Target,Type,Weight
1 Sam 12,Donner,Undirected,1
1 Sam 12,Regen,Undirected,1
1 Sam 7,Donner,Undirected,1
1. Kön 18,Dürre,Undirected,1
1556_Rörer,Amos 4,Undirected,1
1556_Rörer,Dtn 18,Undirected,1
1556_Rörer,Dtn 28,Undirected,1
1556_Rörer,Ex 20,Undirected,1
1556_Rörer,Ex 9,Undirected,1
1556_Rörer,Hag 1,Undirected,1
1556_Rörer,Hiob 1,Undirected,1
1556_Rörer,Hiob 36,Undirected,1
1556_Rörer,Hiob 37,Undirected,1
1556_Rörer,Hiob 38,Undirected,1
1556_Rörer,Jer 18,Undirected,1
1556_Rörer,Joh 16,Undirected,1
1556_Rörer,Joh 9,Undirected,1
1556_Rörer,Klgl 3,Undirected,1
1556_Rörer,Lev 26,Undirected,1
1556_Rörer,Mal 3,Undirected,1
1556_Rörer,Mi 6,Undirected,1
1556_Rörer,Mt 22,Undirected,1
1556_Rörer,Ps 5,Undirected,1
1556_Rörer,Ps 50,Undirected,1
1556_Rörer,Sir 40,Undirected,1
1562_Alber,1 Kön 22,Undirected,1
1562_Alber,1 Sam 28,Undirected,1
1562_Alber,Am 3,Undirected,1
1562_Alber,Am 4,Undirected,1
1562_Alber,Dtn 18,Undirected,1
1562_Alber,Dtn 28,Undirected,1
1562_Alber,Eph 2,Undirected,1
1562_Alber,Ex 20,Undirected,1
1562_Alber,Ex 22,Undirected,1
1562_Alber,Ex 9,Undirected,1
1562_Alber,Ez 33,Undirected,1
1562_Alber,Hab 3,Undirected,1
1562_Alber,Hag 1,Undirected,1
1562_Alber,Hag 2,Undirected,1
1562_Alber,Hebr 1,Undirected,1
1562_Alber,Hiob 1,Undirected,1
1562_Alber,Hiob 38,Undirected,1
1562_Alber,Jer 17,Undirected,1
1562_Alber,Jer 30,Undirected,1
1562_Alber,Jes 26,Undirected,1
1562_Alber,Jes 45,Undirected,1
1562_Alber,Jes 8,Undirected,1
1562_Alber,Joh 5,Undirected,1
1562_Alber,Jos 10,Undirected,1
1562_Alber,Klag 3,Undirected,1
1562_Alber,Koh 7,Undirected,1
1562_Alber,Lev 19,Undirected,1
1562_Alber,Lev 20,Undirected,1
1562_Alber,Lev 26,Undirected,1
1562_Alber,Lk 22,Undirected,1
1562_Alber,Mal 3,Undirected,1
1562_Alber,Mi 7,Undirected,1
1562_Alber,Mt 10,Undirected,1
1562_Alber,Mt 13,Undirected,1
1562_Alber,Mt 8,Undirected,1
1562_Alber,Num 23,Undirected,1
1562_Alber,Ps 104,Undirected,1
1562_Alber,Ps 148,Undirected,1
1562_Alber,Ps 18,Undirected,1
1562_Alber,Ps 78,Undirected,1
1562_Alber,Röm 8,Undirected,1
1562_Alber,Sir 40,Undirected,1
1571_Lavater,1. Kor 3,Undirected,1
1571_Lavater,1. Kön 18,Undirected,1
1571_Lavater,1. Tim 4,Undirected,1
1571_Lavater,2. Chr 6,Undirected,1
1571_Lavater,2. Kön 18,Undirected,1
1571_Lavater,2. Kön 6,Undirected,1
1571_Lavater,2. Kön 8,Undirected,1
1571_Lavater,Amos 4,Undirected,1
1571_Lavater,Apg 11,Undirected,1
1571_Lavater,Dtn 11,Undirected,1
1571_Lavater,Dtn 28,Undirected,1
1571_Lavater,Dtn 32,Undirected,1
